Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Total heavy fuel oil,1377471.00,709054.00,0.00,73105.00,377418.00,205974.00,11920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diesel,629694.00,996.00,0.00,6913.00,0.00,162381.00,73373.00,17100.00,170.00,12546.00,53932.00,43890.00,63603.00,194790.00
