Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
LESA,2000,Lennox Generating Station,Ontario Power Generation Inc.,CO,7,01-Oct-22,01-Oct-22,30-Apr-29,Gas,Rankine Cycle,Natural Gas,Tx,Stella,Lennox and Addington,East,Northwest Ontario
CES,1005,Greenfield Energy Centre,Greenfield Energy Centre LP,CO,27,12-Feb-08,16-Oct-08,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Courtright,Lambton,West,Greater Bruce/Huron
CES,900,Napanee Generating Station,Portlands Energy Centre L.P.,CO,20,31-Dec-18,13-Mar-20,12-Mar-40,Gas,Combined Cycle,Natural Gas,Tx,Bath,Lennox and Addington,East,Greater Bruce/Huron
ACES,839.1,Goreway Station,Goreway Station Partnership,CO,26,01-Jul-08,04-Jun-09,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Brampton,Peel,Toronto,Greater Bruce/Huron
ABPRIA,825,Bruce Unit 7,Bruce Power LP,CO,48,,01-Jan-16,31-Dec-63,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,823,Bruce Unit 1,Bruce Power LP,CO,31,,22-Oct-12,31-Dec-43,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,823,Bruce Unit 2,Bruce Power LP,CO,31,,31-Oct-12,31-Dec-43,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,822,Bruce Unit 5,Bruce Power LP,CO,47,,01-Jan-16,31-Dec-62,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,817,Bruce Unit 6,Bruce Power LP,CO,43,,01-Jan-16,31-Dec-58,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,817,Bruce Unit 8,Bruce Power LP,CO,48,,01-Jan-16,31-Dec-63,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,GTA West
ABPRIA,816,Bruce Unit 3,Bruce Power LP,CO,56,,31-Oct-05,31-Dec-61,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,GTA West
ABPRIA,806,Bruce Unit 4,Bruce Power LP,CO,57,,31-Oct-05,31-Dec-62,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Toronto
ACES,641.5,Halton Hills Generating Station,Portlands Energy Centre L.P.,CO,25,10-May-10,01-Sep-10,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Halton Hills,Halton,Toronto,Toronto
CES,577,St. Clair Energy Centre,St. Clair Power LP,CO,26,12-Feb-08,30-Mar-09,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Corunna,Lambton,West,GTA West
ACES,550,Portlands Energy Centre,Portlands Energy Centre L.P.,CO,25,01-Jun-09,22-Apr-09,21-Apr-34,Gas,Combined Cycle,Natural Gas,Tx,Toronto,Toronto,Toronto,GTA West
EMCES,541.25,Brighton Beach Power Station,Shell Energy North America (Canada) Inc.,CO,15,,30-Sep-09,15-Jul-24,Gas,Combined Cycle,Natural Gas,Tx,Windsor,Essex,West,Chatham/Lambton/Sarnia
EMCES,444,Sarnia Cogeneration Plant,"TransAlta Generation Partnership, an Alberta General Partnership of TransAlta Generation Ltd. And TransAlta Corporation",CO,17,,01-Jul-09,30-Apr-26,Gas,Combined Cycle CHP,Natural Gas,Tx,Sarnia,Lambton,West,Chatham/Lambton/Sarnia
LT1,405,Napanee Generating Station Expansion,Portlands Energy Centre L.P. (doing business as Atura Power),UD,12,01-May-28,,,Gas,Simple Cycle,Natural Gas,Tx,,,East,Chatham/Lambton/Sarnia
NYRP,393,York Energy Centre,York Energy Centre LP,CO,23,31-Dec-11,09-May-12,30-Apr-35,Gas,Simple Cycle,Natural Gas,Tx,Newmarket,York,Essa,Chatham/Lambton/Sarnia
LT1,390,Skyview 2 Battery Energy Storage Project,Skyview BESS Limited Partnership,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,East,Chatham/Lambton/Sarnia
LT1,380,Grey Owl Storage,Shift Solar Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Bruce,Peterborough to Kingston
CES,314,Green Electron Power Plant,Greenfield South Power Corporation,CO,20,01-Sep-17,15-Mar-17,14-Mar-37,Gas,Combined Cycle,Natural Gas,Tx,Courtright,Lambton,West,Greater Ottawa
FIT 1,300,Nigig Power Corporation,Henvey Inlet Wind LP,CO,20,25-Feb-18,09-Sep-19,08-Sep-39,Renewables,Wind - On-Shore,Wind,Tx,Pickerel,Parry Sound,Essa,Greater Ottawa
E-LT1,285,Hagersville Battery Energy Storage Park ,Hagersville Battery Storage Inc,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Hagersville,Haldimand,Southwest,GTA East
GEIA,270,South Kent Wind Project,South Kent Wind LP,CO,20,02-Sep-14,28-Mar-14,27-Mar-34,Renewables,Wind Turbine,Wind,Tx,Blenheim,Chatham-Kent,West,GTA North
GEIA,270,K2,K2 Wind Ontario Limited Partnership,CO,20,03-Jul-15,29-May-15,28-May-35,Renewables,Wind Turbine,Wind,Tx,Dungannon,Huron,Bruce,Windsor-Essex
HESA,267.9,Smoky Falls GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,31-Dec-15,30-Sep-14,29-Sep-64,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,London Area
E-LT1,250,Napanee Energy Storage,Napanee BESS Inc.,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Bath,Lennox and Addington,East,East Lake Superior
LT1,250,Fitzroy BESS,Fitzroy BESS Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Ottawa,Windsor-Essex
OND,250,Oneida Energy Storage,Oneida Storage LP,UD,20,21-Jun-25,,,Storage,Battery Energy Storage System,Battery,Tx,Nanticoke,Haldimand,Southwest,Niagara
CHP I,241.6,Thorold Cogeneration Project,Thorold CoGen L.P.,CO,25,31-May-10,28-Mar-10,30-Apr-35,Gas,Combined Cycle CHP,Natural Gas,Tx,St. Catharines,Niagara,Niagara,Niagara
HCI,239,Wells GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Thessalon,Algoma,Northeast,Northwest Ontario
HESA,235.2,Harmon GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,Northwest Ontario
HESA,235,Kipling GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,Toronto
FIT 1,230,Niagara Region Wind Farm,FWRN LP,CO,20,08-Jun-14,02-Nov-16,01-Nov-36,Renewables,Wind - On-Shore,Wind,Tx,Wellandport,Niagara,Southwest,GTA North
HESA,207.5,Little Long GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Kapuskasing,Cochrane,Northeast,GTA North
ABESA,205,Atikokan Generating Station,Ontario Power Generation Inc.,CO,10,30-Jun-14,24-Jul-14,23-Jul-24,Renewables,Rankine Cycle,Biomass,Tx,Atikokan,Rainy River,Northwest,Niagara
LT1,200,Hedley BESS,Hedley BESS LP,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Southwest,GTA North
LT1,200,Elora BESS,Elora BESS LP,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Southwest,Windsor-Essex
RES II,197.8,Wolfe Island Wind,Melancthon Wolfe Wind LP,CO,20,31-Oct-08,26-Jun-09,25-Jun-29,Renewables,Wind Turbine,Wind,Tx,Wolfe Island,Frontenac,East,Niagara
E-LT1,195,Hydrogen Ready Power Plant,Greenfield South Power Inc.,UD,14,31-May-26,,,Gas,Simple Cycle,Natural Gas,Tx,Courtright,Lambton,West,Chatham/Lambton/Sarnia
RES II,181.5,Enbridge Ontario Wind Power,Enbridge Renewable Energy Infrastructure LP,CO,20,31-Oct-09,19-Feb-09,18-Feb-29,Renewables,Wind Turbine,Wind,Tx,Kincardine,Bruce,Southwest,London Area
GEIA,180,Armow Wind Project,Sp Armow Wind Ontario LP,CO,20,07-Dec-15,07-Dec-15,06-Dec-35,Renewables,Wind Turbine,Wind,Tx,Kincardine,Bruce,Southwest,GTA North
HCI,162,Aubrey Falls GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Elliot Lake,Algoma,Northeast,Burlington to Nanticoke
NUG,156.34,Cardinal Power Plant,Cardinal Power LP,CO,20,01-Jan-15,01-Jan-15,31-Dec-34,Gas,Combined Cycle CHP,Natural Gas,Tx,Cardinal,Leeds and Grenville,East,Windsor-Essex
FIT 1,150,Jericho Wind Energy Centre,"Jericho Wind, LP",CO,20,22-Nov-14,22-Nov-14,21-Nov-34,Renewables,Wind - On-Shore,Wind,Tx,Thedford,Lambton,Bruce,Burlington to Nanticoke
LT1,150,Trail Road BESS,Trailroad BESS Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Ottawa,Burlington to Nanticoke
GEIA,148.6,Grand Renewable Energy Park,Grand Renewable Wind LP,CO,20,25-Sep-14,09-Dec-14,08-Dec-34,Renewables,Wind Turbine,Wind,Tx,Cayuga,Haldimand,Southwest,Toronto
RES II,132,Melancthon II,Melancthon Wolfe Wind LP,CO,20,30-Mar-07,24-Nov-08,23-Nov-28,Renewables,Wind Turbine,Wind,Tx,Dundalk,Grey,Southwest,GTA North
FIT 1,125,Summerhaven Wind Energy Centre,"Summerhaven Wind, LP",CO,20,07-Aug-13,06-Aug-13,05-Aug-33,Renewables,Wind - On-Shore,Wind,Tx,Nanticoke,Haldimand,Southwest,GTA North
NUG,122.78,West Windsor Power,West Windsor Power,CO,15,01-Jun-16,01-Jun-16,31-May-31,Gas,Combined Cycle CHP,Natural Gas,Tx,Windsor,Essex,West,Windsor-Essex
LT1,118,Oxford Battery Energy Storage Project,Oxford Battery Energy Storage Project Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Southwest,Chatham/Lambton/Sarnia
E-LT1,114,York BESS,York (Battery) LP,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Newmarket,York,Essa,Windsor-Essex
FIT 1,104.4,Port Dover and Nanticoke Wind Project,Capital Power (PDN) L.P.,CO,20,22-Mar-14,08-Nov-13,07-Nov-33,Renewables,Wind - On-Shore,Wind,Tx,Nanticoke,Haldimand,Southwest,Burlington to Nanticoke
FIT 1,102,Goshen Wind Energy Centre,"Goshen Wind, LP",CO,20,27-Nov-14,28-Jan-15,27-Jan-35,Renewables,Wind - On-Shore,Wind,Tx,Dashwood,Huron,Southwest,GTA North
RES II,101.2,KEPA Wind Farm,Kruger Energy Port Alma Limited Partnership,CO,20,01-Oct-08,31-Oct-08,30-Oct-28,Renewables,Wind Turbine,Wind,Tx,Port Alma,Chatham-Kent,West,Windsor-Essex
E-LT1,100,East Windsor Expansion,East Windsor (Expansion) L.P.,UD,14,31-May-26,,,Gas,Simple Cycle,Natural Gas,Tx,Windsor,Essex,West,Windsor-Essex
FIT 1,100,Cedar Point Wind Power Project Phase II,Cedar Point II Limited Partnership,CO,20,25-Nov-14,07-Oct-15,06-Oct-35,Renewables,Wind - On-Shore,Wind,Tx,Forest,Lambton,Bruce,Windsor-Essex
FIT 1,100,Grand Bend Wind Farm,Grand Bend Wind Limited Partnership,CO,20,26-Jun-15,19-Apr-16,18-Apr-36,Renewables,Wind - On-Shore,Wind,Tx,Zurich,Huron,Southwest,Peterborough to Kingston
GEIA,100,Grand Renewable Energy Park,Grand Renewable Solar LP,CO,20,31-Mar-14,31-Mar-15,30-Mar-35,Renewables,Solar Ground Mounted,Solar,Tx,Cayuga,Haldimand,Southwest,Greater Ottawa
GEIA,100,Kingston Solar Project,Kingston Solar LP,CO,20,15-Oct-15,25-Sep-15,24-Sep-35,Renewables,Solar Ground Mounted,Solar,Tx,Odessa,Lennox and Addington,East,GTA North
GEIA,99.82,Belle River Wind,Belle River Wind LP,CO,20,31-Dec-16,01-Sep-17,31-Aug-37,Renewables,Wind Turbine,Wind,Tx,South Woodslee,Essex,West,GTA North
LRP I,99.76,Nation Rise Wind,Nation Rise Wind Farm Limited Partnership,CO,20,17-Jun-21,14-Jun-21,13-Jun-41,Renewables,Wind Turbine,Wind,Tx,Crysler,"Stormont, Dundas and Glengarry",East,Kitchener-Waterloo-Guelph-Cambridge
RES III,99.4,Kruger Energy Chatham Wind Project,Kruger Energy Chatham Limited Partnership,CO,20,11-Oct-11,01-Jan-11,30-Oct-31,Renewables,Wind Turbine,Wind,Tx,Port Alma,Chatham-Kent,West,South Georgian Bay/Muskoka
GEIA,99.12,North Kent Wind 1 LP,North Kent Wind 1 LP,CO,20,31-Dec-16,22-Feb-18,21-Feb-38,Renewables,Wind Turbine,Wind,Tx,Dresden,Chatham-Kent,West,Peterborough to Kingston
FIT 1,99,Erieau Wind,Erieau Wind LP,CO,20,05-Jul-14,22-May-13,21-May-33,Renewables,Wind - On-Shore,Wind,Tx,Blenheim,Chatham-Kent,West,GTA West
FIT 1,99,East Lake St. Clair Wind,East Lake St. Clair Wind LP,CO,20,05-Jul-14,22-May-13,21-May-33,Renewables,Wind - On-Shore,Wind,Tx,Wallaceburg,Chatham-Kent,West,Greater Bruce/Huron
RES I,99,Erie Shores Wind Farm,Erie Shores Wind Farm Limited Partnership,CO,20,15-Dec-06,24-May-06,23-May-26,Renewables,Wind Turbine,Wind,Tx,Port Burwell,Elgin,West,GTA East
RES I,99,Prince I  Wind Project,Brookfield Power Wind Prince LP,CO,20,31-Mar-06,21-Sep-06,20-Sep-26,Renewables,Wind Turbine,Wind,Tx,Sault Ste. Marie,Algoma,Northeast,Windsor-Essex
RES III,98.9,Greenwich Windfarm,"Greenwich Wind Farm, LP",CO,20,05-Dec-11,14-Oct-11,04-Dec-31,Renewables,Wind Turbine,Wind,Tx,Dorion,Thunder Bay,Northwest,Chatham/Lambton/Sarnia
RES III,98.9,Talbot Wind Farm,"Talbot Windfarm, LP",CO,20,05-Dec-11,16-Dec-10,04-Dec-31,Renewables,Wind Turbine,Wind,Tx,Ridgetown,Chatham-Kent,West,Sudbury/Algoma
FIT 1,91.387,Dufferin Wind Farm,Dufferin Wind Power Inc.,CO,20,30-Jul-14,01-Dec-14,30-Nov-34,Renewables,Wind - On-Shore,Wind,Tx,Shelburne,Dufferin,Southwest,Sudbury/Algoma
RES II,90,Prince II  Wind Project,Brookfield Power Wind Prince LP,CO,22,31-Dec-07,19-Nov-06,30-Oct-28,Renewables,Wind Turbine,Wind,Tx,Sault Ste. Marie,Algoma,Northeast,Windsor-Essex
CHP I,84,East Windsor CoGen,East Windsor Cogeneration LP,CO,20,01-Jun-09,06-Nov-09,05-Nov-29,Gas,Simple Cycle CHP,Natural Gas,Tx,Windsor,Essex,West,GTA North
FIT 1,82.8,Comber West - C23Z Wind Project,2016 Comber Wind Limited Partnership,CO,20,17-Jul-12,08-Nov-11,07-Nov-31,Renewables,Wind - On-Shore,Wind,Tx,Comber,Chatham-Kent,West,GTA North
FIT 1,82.8,Comber East - C24Z Wind Project,2016 Comber Wind Limited Partnership,CO,20,17-Jul-12,25-Nov-11,24-Nov-31,Renewables,Wind - On-Shore,Wind,Tx,Comber,Chatham-Kent,West,Kitchener-Waterloo-Guelph-Cambridge
NUGEDC,81,Kirkland Lake Power Corp (Baseload),Kirkland Lake Power Corp.,CO,9,01-Jul-21,01-Jul-21,23-Aug-30,Gas,Combined Cycle,Natural Gas,Tx,Kirkland Lake,Timiskaming,Northeast,Kitchener-Waterloo-Guelph-Cambridge
RES III,78,Raleigh Wind Energy Centre,"TerraForm IWG Ontario Holdings, LLC",CO,20,08-Jul-10,29-Jan-11,21-Feb-31,Renewables,Wind Turbine,Wind,Tx,Chatham,Chatham-Kent,West,Greater Bruce/Huron
E-LT1,76,Tilbury Battery Storage,Tilbury Battery Storage Inc,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Tilbury,Chatham-Kent,West,Toronto
RES II,76,Ripley Wind Power,Acciona Wind Energy Canada Inc.,CO,20,01-Oct-07,22-Dec-07,30-Oct-28,Renewables,Wind Turbine,Wind,Tx,Ripley,Bruce,Southwest,Greater Ottawa
FIT 1,74.112,Amherst Island Wind Project,Windlectric Inc.,CO,20,27-Jan-16,15-Jun-18,26-Jan-36,Renewables,Wind - On-Shore,Wind,Tx,Stella,Lennox and Addington,East,Chatham/Lambton/Sarnia
NUG,73.7,Ottawa Health Sciences Centre CGS,TransAlta Cogeneration LP,CO,20,01-Jan-14,01-Jan-14,31-Dec-33,Gas,Combined Cycle CHP,Natural Gas,Tx,Ottawa,Ottawa,Ottawa,Peterborough to Kingston
FIT 1,73.5,Bornish Wind Energy Centre,"Bornish Wind, LP",CO,20,04-Jan-15,15-Aug-14,14-Aug-34,Renewables,Wind - On-Shore,Wind,Tx,Kerwood,Middlesex,Bruce,London Area
NUG,72.28,Windsor Essex Cogeneration Plant,TransAlta Cogeneration LP,CO,15,01-Dec-16,01-Dec-16,30-Nov-31,Gas,Combined Cycle CHP,Natural Gas,Tx,Windsor,Essex,West,Greater Ottawa
MTC 1,71.66,GTAA Cogeneration Plant,Greater Toronto Airports Authority,CO,5,01-May-24,01-May-24,30-Apr-29,Gas,Combined Cycle CHP,Natural Gas,Dx,Mississauga,Peel,Toronto,Chatham/Lambton/Sarnia
LT1,71.25,Edgeware Battery Storage Project,Edgeware BESS Project Limited Partnership,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,St. Thomas,Elgin,West,South Georgian Bay/Muskoka
CES,68.5,St. Clair Energy Centre (Expansion),St. Clair Power LP,UD,10,01-May-25,,,Gas,Combined Cycle,Natural Gas,Tx,Corunna,Lambton,West,Greater Ottawa
RES I,67.5,Melancthon I,Melancthon Wolfe Wind LP,CO,20,27-Mar-06,04-Mar-06,30-Apr-26,Renewables,Wind Turbine,Wind,Tx,Dundalk,Grey,Southwest,Greater Bruce/Huron
CHP I,63,Algoma Energy By-Product Fuel Cogeneration Facility,Essar Power Canada Ltd.,CO,20,30-May-09,13-Jun-09,12-Jun-29,Gas,Rankine Cycle CHP,By Product Gas,Dx,Sault Ste. Marie,Algoma,Northeast,Burlington to Nanticoke
HCI,62,Mackay GS,"Great Lakes Power Limited Partnership, Algoma Hydro Asset LP, Canada Atlantis GL Power LP",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Batchawana Bay,Algoma,Northeast,Greater Bruce/Huron
FIT 1,60,McLean's Mountain WInd Farm 1,McLean's Mountain Wind Limited Partnership,CO,20,13-Jan-14,01-May-14,30-Apr-34,Renewables,Wind - On-Shore,Wind,Tx,Little Current,Manitoulin,Northeast,Kitchener-Waterloo-Guelph-Cambridge
FIT 1,60,Bluewater Wind Energy Centre,"Varna Wind, LP",CO,20,04-Jan-15,19-Jul-14,18-Jul-34,Renewables,Wind - On-Shore,Wind,Tx,Zurich,Huron,Southwest,Peterborough to Kingston
FIT 1,60,Adelaide Wind Energy Centre,"Kerwood Wind, LP",CO,20,11-Jan-15,22-Aug-14,21-Aug-34,Renewables,Wind - On-Shore,Wind,Tx,Kerwood,Middlesex,Bruce,Windsor-Essex
LRP I,60,Romney Wind Energy Centre,Romney Energy Centre Limited Partnership,CO,20,09-Mar-20,31-Dec-19,30-Dec-39,Renewables,Wind Turbine,Wind,Tx,Tilbury,Chatham-Kent,West,Windsor-Essex
LRP I,54,Loyalist Solar Project,Loyalist Solar LP,CO,20,09-Mar-19,29-Apr-19,28-Apr-39,Renewables,Solar Ground Mounted,Solar,Tx,Centreville,Lennox and Addington,East,London Area
HCI,52.2,Clergue GS,"Great Lakes Power Limited Partnership, Algoma Hydro Asset LP, Canada Atlantis GL Power LP",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Sault Ste. Marie,Algoma,Northeast,Greater Bruce/Huron
RES III,50.6,Gosfield Wind Project,Gosfield Wind Limited Partnership,CO,20,31-Dec-12,16-Sep-10,30-Dec-32,Renewables,Wind Turbine,Wind,Tx,Kingsville,Essex,West,North/East of Sudbury
ACES,50,Portlands Energy Centre (Expansion),Portlands Energy Centre L.P.,UD,9,01-May-25,,,Gas,Combined Cycle,Natural Gas,Tx,Toronto,Toronto,Toronto,GTA West
GEIA,50,Windsor Solar,Windsor Solar LP,CO,20,31-Dec-16,14-Nov-16,13-Nov-36,Renewables,Solar Ground Mounted,Solar,Tx,Windsor,Essex,West,GTA North
GEIA,50,Southgate Solar,Southgate Solar LP,CO,20,31-Dec-16,22-Dec-16,21-Dec-36,Renewables,Solar Ground Mounted,Solar,Tx,Holstein,Grey,Southwest,Greater Bruce/Huron
FIT 1,48.6,Pointe Aux Roches Wind,Pointe-Aux-Roches Wind LP,CO,20,17-Jul-12,07-Dec-11,06-Dec-31,Renewables,Wind - On-Shore,Wind,Tx,Comber,Chatham-Kent,West,Greater Bruce/Huron
E-LT1,47.5,Goreway BESS,Goreway (Battery) L.P.,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Brampton,Peel,Toronto,Toronto
HCI,47,Andrews GS,"Great Lakes Power Limited Partnership, Algoma Hydro Asset LP, Canada Atlantis GL Power LP",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Batchawana Bay,Algoma,Northeast,Kitchener-Waterloo-Guelph-Cambridge
HCI,46,Rayner GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Thessalon,Algoma,Northeast,Greater Bruce/Huron
NUG,45.7,Maitland Site GS,Invista (Canada) Company,CO,20,01-Jan-16,01-Jan-16,31-Dec-35,Gas,Simple Cycle CHP,Natural Gas,Dx,Maitland,Leeds and Grenville,East,Toronto
HCI,45,Dunford GS,"Great Lakes Power Limited Partnership, Algoma Hydro Asset LP, Canada Atlantis GL Power LP",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Wawa,Algoma,Northeast,St. Lawrence
LRP I,44,Nanticoke Solar,Nanticoke Solar LP,CO,20,09-Mar-19,01-Mar-19,28-Feb-39,Renewables,Solar Ground Mounted,Solar,Tx,Nanticoke,Haldimand,Southwest,Greater Ottawa
EMCES,42.5,Brighton Beach Power Station (Expansion),Brighton Beach Power L.P.,UD,9,01-Jun-25,,,Gas,Combined Cycle,Natural Gas,Tx,Windsor,Essex,West,Toronto
HCI,41,Red Rock Falls GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Thessalon,Algoma,Northeast,Toronto
ACES,40.41,Goreway Station (Expansion),Goreway Station Partnership,UD,10,01-May-25,,,Gas,Combined Cycle,Natural Gas,Tx,Brampton,Peel,Toronto,Toronto
CHP III,40,Thunder Bay Condensing Turbine Project,Thunder Bay Pulp and Paper Inc.,CO,5,01-Nov-23,01-Nov-23,20-Sep-28,Renewables,Rankine Cycle CHP,Biomass,Tx,Thunder Bay,Thunder Bay,Northwest,St. Lawrence
FIT 1,40,Adelaide Wind Power Project,Adelaide Wind Limited Partnership,CO,20,11-Aug-14,29-Jan-15,28-Jan-35,Renewables,Wind - On-Shore,Wind,Tx,Strathroy,Middlesex,West,Windsor-Essex
FIT 1,40,Grand Valley Wind Farms (Phase 3),Grand Valley 2 Limited Partnership,CO,20,05-Jul-14,03-Dec-15,02-Dec-35,Renewables,Wind - On-Shore,Wind,Tx,Grand Valley,Dufferin,Southwest,St. Lawrence
RES I,39.6,Kingsbridge I Wind Power Project,CP Renewable Energy (Kingsbridge) Limited Partnership,CO,20,31-Jul-06,16-Mar-06,15-Mar-26,Renewables,Wind Turbine,Wind,Tx,Goderich,Huron,Southwest,Windsor-Essex
FIT 1,38.88,Bow Lake Phase 2b,Nodin Kitagan 2 Limited Partnership,CO,20,28-Apr-16,24-Sep-15,23-Sep-35,Renewables,Wind - On-Shore,Wind,Tx,Montreal River Harbour,Algoma,Northeast,Kitchener-Waterloo-Guelph-Cambridge
E-LT1,38,Vaughan 3 Energy Storage 1,Vaughan 3 Energy Storage 1 LP,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Dx,Woodbridge,York,Toronto,Greater Ottawa
HCI,38,Island Falls,"H2O Power Limited Partnership, Watergen Canada Holdings Inc.",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Iroquois Falls,Cochrane,Northeast,North/East of Sudbury
NYRP,38,York Energy Centre (Expansion),York Energy Centre LP,UD,10,01-May-25,,,Gas,Simple Cycle,Natural Gas,Tx,Newmarket,York,Essa,Peterborough to Kingston
NUG,36.5,Tunis GS,Atlantic Power Limited Partnership,CO,15,01-Jun-19,04-Oct-18,03-Oct-33,Gas,Simple Cycle,Natural Gas,Tx,Tunis,Cochrane,Northeast,South Georgian Bay/Muskoka
CES,35,Greenfield Energy Centre (Expansion),Greenfield Energy Centre LP,UD,10,01-May-25,,,Gas,Combined Cycle,Natural Gas,Tx,Courtright,Lambton,West,Toronto
ACES,31.5,Halton Hills Generating Station (Expansion),Portlands Energy Centre L.P.,UD,10,01-May-25,,,Gas,Combined Cycle,Natural Gas,Tx,Halton Hills,Halton,Toronto,Greater Ottawa
FIT 1,30,South Branch Wind Farm,South Dundas Windfarm Limited Partnership,CO,20,22-Mar-14,04-Mar-14,03-Mar-34,Renewables,Wind - On-Shore,Wind,Dx,Brinston,"Stormont, Dundas and Glengarry",East,Windsor-Essex
NUG,29.868,Kirkland Lake GS,Kirkland Lake Power Corp.,CO,20,23-Aug-15,23-Aug-15,22-Aug-35,Gas,Simple Cycle CHP,Natural Gas,Tx,Kirkland Lake,Timiskaming,Northeast,Toronto
HESOP,29.35,Chaudière Hydro GS2 Facility,Chaudière Hydro LP,CO,40,07-Feb-22,18-Aug-17,17-Aug-57,Renewables,Hydroelectricity,Waterpower,Dx,Ottawa,Ottawa,Ottawa,Greater Ottawa
HESA,29.3,Lac Seul/Ear Falls Generating Station,Ontario Power Generation Inc.,CO,50,,18-Feb-09,17-Feb-59,Renewables,Hydroelectricity,Waterpower,Tx,Ear Falls,Kenora,Northwest,Greater Bruce/Huron
HCI,29,Iroquois Falls,"H2O Power Limited Partnership, Watergen Canada Holdings Inc.",CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Iroquois Falls,Cochrane,Northeast,Burlington to Nanticoke
