Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
FIT 1,0.065,"GE Real Estate - Vaughan, ON (30 Whitmore Rd)",Firelight Solar LP,CO,20,30-Apr-12,27-May-11,26-May-31,Renewables,Solar Rooftop,Solar,Dx,Woodbridge,York,Toronto,South Georgian Bay/Muskoka
FIT 1,0.065,Zabek 15746 Niagara Parkway Project,Zabek Farms Ltd.,CO,20,12-Jul-14,08-Mar-12,07-Mar-32,Renewables,Solar Rooftop,Solar,Dx,Niagara-on-the-Lake,Niagara,Niagara,Burlington to Nanticoke
FIT 1,0.065,Warkentin Solar,Randall Warkentin Lois Warkentin,CO,20,12-Jul-14,06-Sep-12,05-Sep-32,Renewables,Solar Rooftop,Solar,Dx,Fullarton,Perth,Southwest,GTA West
FIT 1,0.065,G06-720-730-740 Belfast,Fengate (FGDI) Limited Partnership,CO,20,11-Aug-14,24-Mar-15,23-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Ottawa,Ottawa,Ottawa,Peterborough to Kingston
FIT 1,0.065,Rankin Stables Roof Mounted,Rankin Renewable Power Inc.,CO,20,07-Jun-14,22-Jul-13,21-Jul-33,Renewables,Solar Rooftop,Solar,Dx,St. Catharines,Niagara,Niagara,Toronto
FIT 2,0.065,YCDSB - St. Mary of the Angels,Potentia Solar 7 Limited Partnership,CO,20,05-Mar-15,06-Aug-15,04-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Woodbridge,York,Toronto,Toronto
FIT 2,0.065,YCDSB - St. Cecilia,Potentia Solar 7 Limited Partnership,CO,20,05-Mar-15,28-Jul-15,04-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Vaughan,York,Toronto,Toronto
FIT 2,0.065,YCDSB - St. Emily,Potentia Solar 7 Limited Partnership,CO,20,05-Mar-15,23-Dec-14,22-Dec-34,Renewables,Solar Rooftop,Solar,Dx,Woodbridge,York,Toronto,Toronto
FIT 4,0.065,TD RES HALTON HILLS,Greenlife Energy Inc.,CO,20,18-Feb-18,07-Jun-18,17-Feb-38,Renewables,Solar Rooftop,Solar,Dx,Limehouse,Halton,Toronto,Toronto
HCI,0.065,Canton Mill,Ian W. M. Angus,CO,20,01-Dec-16,01-Dec-16,01-Dec-36,Renewables,Hydroelectricity,Waterpower,Dx,Port Hope,Northumberland,East,Toronto
FIT 2,0.06497,Peace Valley Rooftop,PEACE VALLEY RANCH LIMITED,CO,20,16-Apr-15,18-Sep-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Shelburne,Dufferin,Southwest,Burlington to Nanticoke
FIT 1,0.0649,Ontario Windsmith Solar Farm,Ontario Windsmith Incorporated,CO,20,07-Jun-14,08-Jul-14,06-Jun-34,Renewables,Solar Rooftop,Solar,Dx,Lucknow,Bruce,Bruce,South Georgian Bay/Muskoka
FIT 1,0.0645,Solar Connections- Commerce Park,Herbert Elsner Shoes Limited,CO,20,07-Jul-14,22-Dec-14,21-Dec-34,Renewables,Solar Rooftop,Solar,Dx,Innisfil,Simcoe,Southwest,Toronto
FIT 2,0.064185,Steven Jones,SCCEC LP,CO,20,03-Apr-15,19-Mar-15,18-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Midland,Simcoe,Essa,Burlington to Nanticoke
FIT 2,0.064,Victoria Village PS,TSPS (Portfolio 2) Limited Partnership,CO,20,29-Aug-16,17-Dec-15,16-Dec-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 2,0.064,Oakridge Jr PS,TSPS (Portfolio 1) Limited Partnership,CO,20,22-Aug-16,30-Sep-14,29-Sep-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA West
FIT 2,0.064,David Lewis PS,TSPS (Portfolio 2) Limited Partnership,CO,20,01-Aug-16,23-Dec-15,22-Dec-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 1,0.0636,BarnFit,Wilspring Farms Ltd,CO,20,30-Apr-12,30-Aug-11,29-Aug-31,Renewables,Solar Rooftop,Solar,Dx,Uxbridge,Durham,Essa,South Georgian Bay/Muskoka
FIT 2,0.0632,Lord Roberts Jr PS,TSPS (Portfolio 2) Limited Partnership,CO,20,20-Aug-16,15-Aug-16,14-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
