Calendar Year,Scenario,Fuel Type,Output, Value 
2027,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2027,Dispatchable Dominant,Wind,Generation_MWh," 13,308,357 "
2028,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 9,320,832 "
2028,Dispatchable Dominant,Cogeneration,Generation_MWh," 42,813,813 "
2028,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 2,697,612 "
2028,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,898,611 "
2028,Dispatchable Dominant,Net Imports,Generation_MWh," 2,925,142 "
2028,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 12,860,564 "
2028,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh, -   
2028,Dispatchable Dominant,Other,Generation_MWh," 2,606,169 "
2028,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,917,348 "
2028,Dispatchable Dominant,Solar,Generation_MWh," 3,005,707 "
2028,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2028,Dispatchable Dominant,Wind,Generation_MWh," 13,322,201 "
2029,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 9,115,949 "
2029,Dispatchable Dominant,Cogeneration,Generation_MWh," 43,377,824 "
2029,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 1,813,184 "
2029,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,910,689 "
2029,Dispatchable Dominant,Net Imports,Generation_MWh," 3,533,126 "
2029,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 12,768,759 "
2029,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh, -   
2029,Dispatchable Dominant,Other,Generation_MWh," 2,586,027 "
2029,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 1,975,603 "
2029,Dispatchable Dominant,Solar,Generation_MWh," 3,087,161 "
2029,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2029,Dispatchable Dominant,Wind,Generation_MWh," 13,308,185 "
2030,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 5,891,412 "
2030,Dispatchable Dominant,Cogeneration,Generation_MWh," 43,542,278 "
2030,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 483,403 "
2030,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,907,349 "
2030,Dispatchable Dominant,Net Imports,Generation_MWh," 1,311,771 "
